country,date,cases
afghanistan,22/01/20,0
afghanistan,23/01/20,0
afghanistan,24/01/20,0
afghanistan,25/01/20,0
afghanistan,26/01/20,0
afghanistan,27/01/20,0
afghanistan,28/01/20,0
afghanistan,29/01/20,0
afghanistan,30/01/20,0
afghanistan,31/01/20,0
afghanistan,01/02/20,0
afghanistan,02/02/20,0
afghanistan,03/02/20,0
afghanistan,04/02/20,0
afghanistan,05/02/20,0
afghanistan,06/02/20,0
afghanistan,07/02/20,0
afghanistan,08/02/20,0
afghanistan,09/02/20,0
afghanistan,10/02/20,0
afghanistan,11/02/20,0
afghanistan,12/02/20,0
afghanistan,13/02/20,0
afghanistan,14/02/20,0
afghanistan,15/02/20,0
afghanistan,16/02/20,0
afghanistan,17/02/20,0
afghanistan,18/02/20,0
afghanistan,19/02/20,0
afghanistan,20/02/20,0
afghanistan,21/02/20,0
afghanistan,22/02/20,0
afghanistan,23/02/20,0
afghanistan,24/02/20,1
afghanistan,25/02/20,1
afghanistan,26/02/20,1
afghanistan,27/02/20,1
afghanistan,28/02/20,1
afghanistan,29/02/20,1
afghanistan,01/03/20,1
afghanistan,02/03/20,1
afghanistan,03/03/20,1
afghanistan,04/03/20,1
afghanistan,05/03/20,1
afghanistan,06/03/20,1
afghanistan,07/03/20,1
afghanistan,08/03/20,4
afghanistan,09/03/20,4
afghanistan,10/03/20,5
afghanistan,11/03/20,7
afghanistan,12/03/20,7
afghanistan,13/03/20,7
afghanistan,14/03/20,11
afghanistan,15/03/20,16
afghanistan,16/03/20,21
afghanistan,17/03/20,22
afghanistan,18/03/20,22
afghanistan,19/03/20,22
afghanistan,20/03/20,24
afghanistan,21/03/20,24
afghanistan,22/03/20,40
afghanistan,23/03/20,40
afghanistan,24/03/20,74
afghanistan,25/03/20,84
afghanistan,26/03/20,94
afghanistan,27/03/20,110
afghanistan,28/03/20,110
afghanistan,29/03/20,120
afghanistan,30/03/20,170
afghanistan,31/03/20,174
afghanistan,01/04/20,237
afghanistan,02/04/20,273
afghanistan,03/04/20,281
afghanistan,04/04/20,299
afghanistan,05/04/20,349
afghanistan,06/04/20,367
afghanistan,07/04/20,423
albania,22/01/20,0
albania,23/01/20,0
albania,24/01/20,0
albania,25/01/20,0
albania,26/01/20,0
albania,27/01/20,0
albania,28/01/20,0
albania,29/01/20,0
albania,30/01/20,0
albania,31/01/20,0
albania,01/02/20,0
albania,02/02/20,0
albania,03/02/20,0
albania,04/02/20,0
albania,05/02/20,0
albania,06/02/20,0
albania,07/02/20,0
albania,08/02/20,0
albania,09/02/20,0
albania,10/02/20,0
albania,11/02/20,0
albania,12/02/20,0
albania,13/02/20,0
albania,14/02/20,0
albania,15/02/20,0
albania,16/02/20,0
albania,17/02/20,0
albania,18/02/20,0
albania,19/02/20,0
albania,20/02/20,0
albania,21/02/20,0
albania,22/02/20,0
albania,23/02/20,0
albania,24/02/20,0
albania,25/02/20,0
albania,26/02/20,0
albania,27/02/20,0
albania,28/02/20,0
albania,29/02/20,0
albania,01/03/20,0
albania,02/03/20,0
albania,03/03/20,0
albania,04/03/20,0
albania,05/03/20,0
albania,06/03/20,0
albania,07/03/20,0
albania,08/03/20,0
albania,09/03/20,2
albania,10/03/20,10
albania,11/03/20,12
albania,12/03/20,23
albania,13/03/20,33
albania,14/03/20,38
albania,15/03/20,42
albania,16/03/20,51
albania,17/03/20,55
albania,18/03/20,59
albania,19/03/20,64
albania,20/03/20,70
albania,21/03/20,76
albania,22/03/20,89
albania,23/03/20,104
albania,24/03/20,123
albania,25/03/20,146
albania,26/03/20,174
albania,27/03/20,186
albania,28/03/20,197
albania,29/03/20,212
albania,30/03/20,223
albania,31/03/20,243
albania,01/04/20,259
albania,02/04/20,277
albania,03/04/20,304
albania,04/04/20,333
albania,05/04/20,361
albania,06/04/20,377
albania,07/04/20,383
algeria,22/01/20,0
algeria,23/01/20,0
algeria,24/01/20,0
algeria,25/01/20,0
algeria,26/01/20,0
algeria,27/01/20,0
algeria,28/01/20,0
algeria,29/01/20,0
algeria,30/01/20,0
algeria,31/01/20,0
algeria,01/02/20,0
algeria,02/02/20,0
algeria,03/02/20,0
algeria,04/02/20,0
algeria,05/02/20,0
algeria,06/02/20,0
algeria,07/02/20,0
algeria,08/02/20,0
algeria,09/02/20,0
algeria,10/02/20,0
algeria,11/02/20,0
algeria,12/02/20,0
algeria,13/02/20,0
algeria,14/02/20,0
algeria,15/02/20,0
algeria,16/02/20,0
algeria,17/02/20,0
algeria,18/02/20,0
algeria,19/02/20,0
algeria,20/02/20,0
algeria,21/02/20,0
algeria,22/02/20,0
algeria,23/02/20,0
algeria,24/02/20,0
algeria,25/02/20,1
algeria,26/02/20,1
algeria,27/02/20,1
algeria,28/02/20,1
algeria,29/02/20,1
algeria,01/03/20,1
algeria,02/03/20,3
algeria,03/03/20,5
algeria,04/03/20,12
algeria,05/03/20,12
algeria,06/03/20,17
algeria,07/03/20,17
algeria,08/03/20,19
algeria,09/03/20,20
algeria,10/03/20,20
algeria,11/03/20,20
algeria,12/03/20,24
algeria,13/03/20,26
algeria,14/03/20,37
algeria,15/03/20,48
algeria,16/03/20,54
algeria,17/03/20,60
algeria,18/03/20,74
algeria,19/03/20,87
algeria,20/03/20,90
algeria,21/03/20,139
algeria,22/03/20,201
algeria,23/03/20,230
algeria,24/03/20,264
algeria,25/03/20,302
algeria,26/03/20,367
algeria,27/03/20,409
algeria,28/03/20,454
algeria,29/03/20,511
algeria,30/03/20,584
algeria,31/03/20,716
algeria,01/04/20,847
algeria,02/04/20,986
algeria,03/04/20,1171
algeria,04/04/20,1251
algeria,05/04/20,1320
algeria,06/04/20,1423
algeria,07/04/20,1468
andorra,22/01/20,0
andorra,23/01/20,0
andorra,24/01/20,0
andorra,25/01/20,0
andorra,26/01/20,0
andorra,27/01/20,0
andorra,28/01/20,0
andorra,29/01/20,0
andorra,30/01/20,0
andorra,31/01/20,0
andorra,01/02/20,0
andorra,02/02/20,0
andorra,03/02/20,0
andorra,04/02/20,0
andorra,05/02/20,0
andorra,06/02/20,0
andorra,07/02/20,0
andorra,08/02/20,0
andorra,09/02/20,0
andorra,10/02/20,0
andorra,11/02/20,0
andorra,12/02/20,0
andorra,13/02/20,0
andorra,14/02/20,0
andorra,15/02/20,0
andorra,16/02/20,0
andorra,17/02/20,0
andorra,18/02/20,0
andorra,19/02/20,0
andorra,20/02/20,0
andorra,21/02/20,0
andorra,22/02/20,0
andorra,23/02/20,0
andorra,24/02/20,0
andorra,25/02/20,0
andorra,26/02/20,0
andorra,27/02/20,0
andorra,28/02/20,0
andorra,29/02/20,0
andorra,01/03/20,0
andorra,02/03/20,1
andorra,03/03/20,1
andorra,04/03/20,1
andorra,05/03/20,1
andorra,06/03/20,1
andorra,07/03/20,1
andorra,08/03/20,1
andorra,09/03/20,1
andorra,10/03/20,1
andorra,11/03/20,1
andorra,12/03/20,1
andorra,13/03/20,1
andorra,14/03/20,1
andorra,15/03/20,1
andorra,16/03/20,2
andorra,17/03/20,39
andorra,18/03/20,39
andorra,19/03/20,53
andorra,20/03/20,75
andorra,21/03/20,88
andorra,22/03/20,113
andorra,23/03/20,133
andorra,24/03/20,164
andorra,25/03/20,188
andorra,26/03/20,224
andorra,27/03/20,267
andorra,28/03/20,308
andorra,29/03/20,334
andorra,30/03/20,370
andorra,31/03/20,376
andorra,01/04/20,390
andorra,02/04/20,428
andorra,03/04/20,439
andorra,04/04/20,466
andorra,05/04/20,501
andorra,06/04/20,525
andorra,07/04/20,545
angola,22/01/20,0
angola,23/01/20,0
angola,24/01/20,0
angola,25/01/20,0
angola,26/01/20,0
angola,27/01/20,0
angola,28/01/20,0
angola,29/01/20,0
angola,30/01/20,0
angola,31/01/20,0
angola,01/02/20,0
angola,02/02/20,0
angola,03/02/20,0
angola,04/02/20,0
angola,05/02/20,0
angola,06/02/20,0
angola,07/02/20,0
angola,08/02/20,0
angola,09/02/20,0
angola,10/02/20,0
angola,11/02/20,0
angola,12/02/20,0
angola,13/02/20,0
angola,14/02/20,0
angola,15/02/20,0
angola,16/02/20,0
angola,17/02/20,0
angola,18/02/20,0
angola,19/02/20,0
angola,20/02/20,0
angola,21/02/20,0
angola,22/02/20,0
angola,23/02/20,0
angola,24/02/20,0
angola,25/02/20,0
angola,26/02/20,0
angola,27/02/20,0
angola,28/02/20,0
angola,29/02/20,0
angola,01/03/20,0
angola,02/03/20,0
angola,03/03/20,0
