year,time,n,bad
2009,1,17930,17893
2009,2,16212,16179
2009,3,14641,14610
2009,4,13137,13107
2009,5,12115,12087
2009,6,11283,11259
2009,7,10553,10531
2009,8,9944,9926
2009,9,9216,9203
2009,10,8722,8709
2009,11,8150,8140
2009,12,7732,7722
2009,13,7372,7364
2009,14,6943,6935
2009,15,6511,6503
2009,16,6157,6150
2009,17,5791,5785
2009,18,5414,5407
2009,19,5096,5089
2009,20,4714,4708
2009,21,4405,4400
2009,22,4211,4207
2009,23,4312,4307
2009,24,4975,4967
2009,25,6385,6375
2009,26,6925,6918
2009,27,6613,6606
2009,28,6248,6241
2009,29,5885,5878
2009,30,5497,5492
2009,31,5203,5198
2009,32,4944,4939
2009,33,4747,4742
2009,34,4440,4435
2009,35,4009,4006
2009,36,3363,3361
2009,37,2253,2253
2009,38,1632,1632
2009,39,1526,1526
2009,40,1433,1433
2009,41,1373,1373
2009,42,1331,1331
2009,43,1273,1273
2009,44,1204,1204
2009,45,1127,1127
2009,46,1071,1071
2009,47,990,990
2009,48,922,922
2009,49,867,867
2009,50,791,791
2009,51,736,736
2009,52,686,686
2009,53,677,677
2009,54,691,691
2009,55,677,677
2009,56,686,686
2009,57,667,667
2009,58,635,635
2009,59,629,629
2009,60,595,595
2009,61,556,556
2009,62,519,519
2009,63,478,478
2009,64,398,398
2009,65,334,334
2009,66,300,300
2009,67,279,279
2009,68,254,254
2009,69,240,240
2009,70,238,238
2009,71,229,229
2009,72,224,224
2009,73,216,216
2009,74,191,191
2009,75,139,139
2009,76,65,65
2009,77,25,25
2009,78,21,21
2009,79,16,16
2009,80,11,11
2009,81,6,6
2009,82,7,7
2009,83,6,6
2009,84,7,7
2009,85,7,7
2009,86,5,5
2009,87,5,5
2009,88,2,2
2009,95,58,0
2009,96,190876,0
2010,1,11206,11198
2010,2,10616,10608
2010,3,10031,10023
2010,4,9596,9589
2010,5,9152,9146
2010,6,8844,8836
2010,7,8548,8540
2010,8,8094,8086
2010,9,7670,7663
2010,10,7339,7333
2010,11,7631,7619
2010,12,9298,9271
2010,13,12169,12138
2010,14,12946,12918
2010,15,12299,12272
2010,16,11605,11583
2010,17,10852,10831
2010,18,10175,10157
2010,19,9522,9508
2010,20,9017,9005
2010,21,8536,8525
2010,22,8008,7999
2010,23,7150,7143
2010,24,5913,5911
2010,25,3943,3943
2010,26,2855,2855
2010,27,2707,2707
2010,28,2611,2611
2010,29,2562,2562
2010,30,2515,2515
2010,31,2409,2409
2010,32,2343,2343
2010,33,2215,2215
2010,34,2152,2152
2010,35,2080,2080
2010,36,1977,1977
2010,37,1897,1897
2010,38,1760,1760
2010,39,1730,1730
2010,40,1688,1688
2010,41,1699,1699
2010,42,1711,1711
2010,43,1719,1719
2010,44,1744,1744
2010,45,1700,1700
2010,46,1675,1675
2010,47,1675,1675
2010,48,1600,1600
2010,49,1527,1527
2010,50,1458,1458
2010,51,1375,1375
2010,52,1288,1288
2010,53,1182,1182
2010,54,1111,1111
2010,55,1041,1041
2010,56,965,965
2010,57,915,915
2010,58,870,870
2010,59,823,823
2010,60,794,794
2010,61,745,745
2010,62,654,654
2010,63,520,520
2010,64,381,381
2010,65,326,326
2010,66,309,309
2010,67,298,298
2010,68,293,293
2010,69,302,302
2010,70,290,290
2010,71,291,291
2010,72,285,285
2010,73,266,266
2010,74,254,254
2010,75,212,212
2010,76,76,76
2010,77,10,10
2010,78,10,10
2010,79,9,9
2010,80,10,10
2010,81,9,9
2010,82,7,7
2010,83,62,8
2010,84,233951,8
2011,1,22109,22032
2011,2,24307,24232
2011,3,24100,24027
2011,4,23289,23217
2011,5,22387,22322
2011,6,21341,21282
2011,7,20246,20192
2011,8,19255,19203
2011,9,18324,18279
2011,10,17233,17192
2011,11,15521,15494
2011,12,12773,12764
2011,13,8899,8899
2011,14,7054,7054
2011,15,6748,6748
2011,16,6543,6543
2011,17,6467,6467
2011,18,6338,6338
2011,19,6194,6194
2011,20,6005,6004
2011,21,5831,5830
2011,22,5653,5652
2011,23,5545,5544
2011,24,5402,5401
2011,25,5310,5309
2011,26,5161,5160
2011,27,5033,5032
2011,28,5022,5021
2011,29,5092,5091
2011,30,5158,5158
2011,31,5237,5237
2011,32,5293,5293
2011,33,5235,5235
2011,34,5169,5169
2011,35,5226,5226
2011,36,5180,5180
2011,37,5086,5086
2011,38,4951,4951
2011,39,4741,4741
2011,40,4531,4531
2011,41,4297,4297
2011,42,4020,4020
2011,43,3792,3792
2011,44,3480,3480
2011,45,3252,3252
2011,46,3036,3036
2011,47,2788,2788
2011,48,2557,2557
2011,49,2340,2340
2011,50,2162,2162
2011,51,1932,1932
2011,52,1705,1705
2011,53,1532,1532
2011,54,1403,1403
2011,55,1325,1325
2011,56,1269,1269
2011,57,1225,1225
2011,58,1176,1176
2011,59,1130,1130
2011,60,1062,1062
2011,61,1048,1048
2011,62,959,959
2011,63,859,859
2011,64,623,623
2011,65,526,526
2011,66,509,509
2011,67,490,490
2011,68,464,464
2011,69,429,429
2011,70,421,421
2011,71,452,410
2011,72,281574,388
2012,1,17295,17294
2012,2,14949,14948
2012,3,14985,14984
2012,4,15340,15339
2012,5,15998,15997
2012,6,16425,16424
2012,7,16351,16350
2012,8,16078,16076
2012,9,15855,15853
2012,10,15422,15420
2012,11,15188,15187
2012,12,14627,14626
2012,13,14286,14285
